"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Africa Eastern and Southern","AFE","5.7929942946543","5.6051981194316","5.5458537987417","5.5061137994104","5.3825213345898","5.2833053509983","5.2300152704369","5.2293864330803","5.4094475270323","5.3322638351728","5.0610091265793","4.7540675979753","4.4424277824994","4.241482192785","4.1285001962859","4.0327628684635","3.9520965981425","3.8022091031061","3.7394865422158","3.7478290100422",""
"Africa Western and Central","AFW","3.7268253357488","3.6785064336195","3.6229704840533","3.5613712731274","3.5580645142595","3.5122568601081","3.5597969867901","3.4784805214205","3.3802956250411","3.3559871857235","3.3142070507067","3.1978403329761","3.1291698390798","3.1126084217154","3.0045607234048","2.8822477454946","2.8210449382131","2.7697651539823","2.729174113727","2.6789718208361",""
"Europe","EU","7.815403036105","6.8502436920084","7.0847790748226","6.7780032345563","6.7214379307734","6.4878554868548","6.2331870999313","5.9052616653563","6.0016716824049","5.9257988705533","5.9304216612695","5.6223892610965","5.7072394207125","5.5995374184153","5.4085667361919","5.2642022077181","4.7451943153025","4.8763913679704","4.4947330330754","4.5288770120176",""
"East Asia ","EAS","11.177960761776","9.8994308066689","9.0771061185742","9.3869049799962","9.6162475641295","9.3697101159517","8.8793460593334","8.4987767240635","8.1064322792863","7.8778537437486","7.4541813424216","7.0845169552172","6.4906236699715","6.2011616383256","5.9356894118322","5.6715002757221","5.5374412105562","5.4721464210212","5.483590940264","5.390665595103",""
"Central Asia","ECS","8.4615030186158","8.1446065692799","8.2601945510609","8.1208171789812","7.9208846498573","7.840747644481","7.3930458941794","7.1340166007033","7.1094806000588","6.9056945143009","6.8189236288321","6.6564337355326","6.6037048643078","6.5704098751546","6.4935643160978","6.4168705868131","6.1101174336536","5.9331616817671","5.8583260490144","5.645634124691",""
"South America","SAC","2.3719057269582","2.5169278669216","2.6051485873802","2.4836710927744","2.4445663078084","2.4805452125957","2.415446084319","2.5007215197913","2.5461724608648","2.5943560673639","2.5792939259971","2.6212880583472","2.611687799049","2.5819316970557","2.6314052753918","2.7467334239135","2.6031589811547","2.7667021855467","2.7644514037489","2.7022889052989",""
"North Africa","AFN","3.8181423565578","3.7631402702465","3.6880867023259","3.5357784019657","3.448479649392","3.3417844683607","3.2104609493564","3.2069700800226","3.1194340572863","3.0793008992131","3.0810089716431","3.0488175940175","3.0148231661597","2.8931391739009","2.7996131001469","2.7158613114735","2.632589050808","2.5612531479475","2.5292349455015","2.4698364264891",""
"North America","NAC","4.6171171175486","4.8172472750454","5.0685085144314","5.1175112450064","5.4685630458318","5.297975255337","5.4294047469773","5.5588164038587","5.6490711385724","5.7196757576654","5.8591863217079","6.0098897751264","6.1099253744506","6.2199250510085","6.5299726557492","6.8099943362698","6.9197438243437","7.0294194120803","7.0983782687036","7.3565251560969",""
"South Asia","SAS","13.509514440022","13.055980643317","12.364180538231","11.605419177199","11.26827605545","11.451361107782","11.165160375031","10.687851540077","10.430019263584","10.269723850944","10.65356313104","10.489347925968","10.027341046202","9.6988765173751","9.0533523760063","8.918091392097","8.7516282933954","8.6543376818191","9.0061143148927","9.0702348779914",""
"Sub-Saharan Africa","SSF","4.9684841014372","4.8360589428761","4.7779756933192","4.7292591147348","4.6534852151106","4.5753796209002","4.5621671847857","4.5290398409238","4.5975614003764","4.5413496207792","4.361832474121","4.1311355130804","3.9167617189354","3.7896426271452","3.6786488424786","3.5722646347962","3.4993516848256","3.3888804051069","3.3349425165905","3.3197413807676",""
"Small states","SST","6.978161879329","7.0263948288682","6.843665157257","6.8936499422908","6.7058547166971","6.7753053170652","7.062807639912","6.9112269991455","7.1374774036154","6.8613859540676","6.447312257","6.3262130903798","6.6262846426511","6.5957229560537","6.7471522573125","6.5182921710224","6.026482320201","5.6604628031779","5.4918793559062","5.372066736295",""
"World","WLD","9.1261827331749","8.5602707065445","8.1601028097269","8.0452202975377","8.0112291816394","7.9355938255943","7.6371339397534","7.3745222810619","7.1939800269235","7.0502962382272","6.9722341771701","6.7715673041345","6.4412686835774","6.2448695188995","5.9967597695216","5.8735495277843","5.7273022337537","5.65695539841","5.7218443285422","5.6785761777397",""
